text,funny
"
Don’t knock on death’s door. Hit the doorbell and run. He hates that.",1
"  NFL owners approve St. Louis Rams relocation to L.A., give San Diego Chargers option to join them.",0
 'Affluenza' teen Ethan Couch has left Mexico City on a plane to Dallas.,0
 A look at North Korea's nuclear ambitions.  ,0
 A look at North Korea's sports diplomacy.  ,0
 A look at the elaborate outfits that shaped David Bowie's pop personas.  ,0
 A visit to the border of the Korean Demilitarized Zone.  ,0
 Active shooter reported at Naval Medical Center in San Diego: Center Facebook post,0
 Aerial acrobatics at the SingaporeAirshow.  ,0
 AIG to pursue spin-off of mortgage insurance unit:  ,0
 Air Force Major General James Martin has recovered after fainting during Pentagon press briefing. ,0
 Al Qaeda of Islamic Maghreb says it is responsible for Burkina Faso hotel attack: SITE Intelligence Group,0
 Alabama Supreme Court Chief Justice orders state probate judges not to issue same-sex marriage licenses,0
 Bernie Sanders takes on Wall Street.  ,0
" Bernie Sanders: ""We have sent a message that will echo from Wall Street to Washington."" ",0
" Billionaire activist Steyer says not yet ready to back Clinton, open to Sanders.  ",0
" Billionaire green activist Steyer says not ready to back Clinton, open to Sanders  ",0
 Billionaire Lasry's junk fund stops reporting asset levels amid turmoil  ,0
 Body of country singer Craig Strickland discovered by Oklahoma officials.,0
 Brazil could waive U.S. dollar to bolster Iran trade - minister ,0
 Brazil's Zika virus outbreak worse than believed - minister ,0
" British Foreign Office: allegation of rape outstanding against Julian Assange, so UK has a legal obligation to extradite him.",0
 California gas leak spotlights shoddy regulation of aging storage wells:  ,0
" Cameron’s spokeswoman describes IS video as ‘propaganda’, says clear that IS in decline and in retreat",0
" Canada has four recent cases of Zika, all from travelers: Public health agency",0
 China buys first U.S. crude cargo since end of export ban - source  ,0
 China detects first imported Zika case - Xinhua news agency,0
 Chipotle sued for violating federal securities laws over statements on food safety,0
 Chris Christie plans to drop out of presidential race: TV networks,0
 Classic SuperBowl moments through the years.  ,0
 Construction crane collapses in lower Manhattan: CBS,0
 Dalian Wanda clinches deal for Legendary Entertainment - source  ,0
 Democrats face off in last debate before Iowa caucuses.  ,0
 Donald Trump takes the stage after losing Iowa caucus to Ted Cruz  ,0
 Drug kingpin El Chapo has been caught: Mexican President Pena Nieto on Twitter,0
 EgyptAir mechanic suspected in Russian plane crash.  ,0
" Einstein was right, again: gravitational waves detected.  ",0
 El Chapo lawyer says Sean Penn should testify about his Rolling Stone article.,0
 Evicted in Myanmar.  ,0
 Facebook says to prohibit private firearm transactions on its service ,0
 Families affected by Zika Virus in Brazil.  ,0
 Families affected by ZikaVirus in Brazil.  ,0
 FBI joins Flint water contamination probe.  ,0
" Fed leaves interest rates unchanged, remains upbeat on U.S. economy, 'closely monitoring' global",0
 FIFA's Blatter is still being paid his salary despite ban from world soccer  ,0
" First case reported of Zika virus transmission in the U.S. in Dallas County, Texas - local media ",0
" Five people killed in Canada school shooting, two more in critical condition: PM Trudeau",0
